Experimento,Modelo,Config,is_rel_f1,micro_f1,macro_f1,hamming_loss,jaccard_samples,subset_accuracy,mean_duration_s,total_duration_s,errores_fmt
Exp 1 - Baseline zero-shot,Qwen 3.5 9B,Zero-shot,0.8872180451127819,0.8908296943231441,0.7947585595703311,0.03125,0.5683333333333332,0.8,62.03325999999999,6203.325999999999,0
Exp 2 - Prompt v2,Qwen 3.5 9B,Zero-shot,0.9931972789115647,0.9718875502008032,0.974063486961269,0.00875,0.7116666666666666,0.95,54.46602,5446.602,0
Exp 3 - v2 + N1,Qwen 3.5 9B,+N1 context,0.9931972789115647,0.9799196787148594,0.9669404554284957,0.00625,0.7116666666666666,0.95,55.818690000000004,5581.869000000001,0
Exp 4 - Few-shot (v3),Qwen 3.5 9B,Few-shot,1.0,0.984251968503937,0.9746983408748116,0.005,0.725,0.97,54.828010000000006,5482.801,0
Exp 5 - Gemma 4B - Prompt v2,Gemma 4 4B,Zero-shot,0.8505747126436781,0.984251968503937,0.9744478251070543,0.005,0.73,0.97,35.680232323232325,3532.3430000000003,0
Exp 6 - Prompt v4 (AAI fix),Qwen 3.5 9B,Few-shot,1.0,0.9725490196078431,0.9659113873860046,0.00875,0.7175,0.96,56.6747,5667.47,0
